Serial number,id,Locations,Latitude,Longitude
1,a81758fffe030fda,SM-1602,65.05862834,25.46546437
2,a81758fffe030f5a,SM-1601,65.05864615,25.46546437
3,a81758fffe030f5d,SM-1502,65.05862834,25.4655046
4,a81758fffe03107c,SM-1501,65.05864644,25.4655046
5,a81758fffe030fff,SM-1402,65.05862862,25.46554819
6,a81758fffe03102e,SM-1401,65.05864644,25.46554752
7,a81758fffe030f58,SR-1411,65.05868008,25.46554886
8,a81758fffe030f6d,BK-2702,65.05889753,25.46499968
9,a81758fffe030f67,BK-2602,65.05889188,25.46504259
10,a81758fffe030f6c,BK-2601,65.05890997,25.46504259
11,a81758fffe030f61,BK-2502,65.05889018,25.4650902
12,a81758fffe030f49,BK-2501,65.05890969,25.46509221
13,a81758fffe030f63,BK-2402,65.05889046,25.46513245
14,a81758fffe030f48,BK-2401,65.05890969,25.46513446
15,a81758fffe030f64,BK-2302,65.05889074,25.46517469
16,a81758fffe030f47,BK-2301,65.05891223,25.46517737
17,a81758fffe030f65,BK-2202,65.05889159,25.46521492
18,a81758fffe030f46,BK-2201,65.05891223,25.46521828
19,a81758fffe030f66,BK-2102,65.05889159,25.46526186
20,a81758fffe030f45,BK-2101,65.05891252,25.46526186
21,a81758fffe030f44,BK-2002,65.05889272,25.46529539
22,a81758fffe030f43,BK-2001,65.05891337,25.4652974
23,a81758fffe030f55,CM03-1103,65.05861279,25.46566889
24,a81758fffe030f54,CM03-1102,65.05862806,25.46567157
25,a81758fffe030f53,CM03-1101,65.05864587,25.46567157
26,a81758fffe030f51,CM03-1002,65.05862777,25.46571381
27,a81758fffe030f50,CM03-1001,65.05864644,25.46571381
28,a81758fffe030f5b,BM02-0902,65.05862834,25.46576142
29,a81758fffe030f4f,BM02-0901,65.05864502,25.46576008
30,a81758fffe030f4e,BM02-0803,65.05861109,25.46580099
31,a81758fffe030f4d,BM02-0802,65.05862693,25.46580099
32,a81758fffe030f4c,BM02-0801,65.05864446,25.46580032
33,a81758fffe030f4b,BM02-0701,65.05862721,25.46585128
34,a81758fffe031079,AM01-0601,65.05863654,25.46588749
35,a81758fffe031071,AM01-0502,65.0586289,25.46593308
36,a81758fffe031070,AM01-0501,65.05864644,25.46593308
37,a81758fffe031009,AM01-0402,65.05862862,25.46596929
38,a81758fffe031008,AM01-0401,65.05864644,25.46596929
39,a81758fffe031007,AM01-0302,65.05862806,25.46600752
40,a81758fffe031006,AM01-0301,65.05864587,25.46600819
41,a81758fffe031005,AM01-0202,65.05862749,25.4660444
42,a81758fffe031004,AM01-0201,65.05864672,25.46604306
43,a81758fffe031003,AM01-0102,65.05862862,25.46608195
44,a81758fffe031002,AM01-0101,65.05864615,25.46608195
45,a81758fffe03103a,TY-2913,65.0586289,25.46490647
46,a81758fffe03103b,TY-2912,65.05864955,25.46490647
47,a81758fffe031040,TY-2911,65.0586733,25.46490781
48,a81758fffe031041,TY-2910,65.05869366,25.46490781
49,a81758fffe031042,TY-2909,65.05871204,25.46490647
50,a81758fffe030f5f,TY-2908,65.05873013,25.4649058
51,a81758fffe030f5e,TY-2907,65.05875162,25.46490647
